linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,log_time,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1777986963.4739842,1777986963.473692
0.0,0.0,0.0,0.0,0.0,0.0,1777986963.5737867,1777986963.5735793
0.0,0.0,0.0,0.0,0.0,0.0,1777986963.673889,1777986963.6735978
0.0,0.0,0.0,0.0,0.0,0.0,1777986963.7739563,1777986963.7736933
0.0,0.0,0.0,0.0,0.0,0.0,1777986963.8738465,1777986963.8736105
0.0,0.0,0.0,0.0,0.0,0.0,1777986963.973893,1777986963.9736083
0.0,0.0,0.0,0.0,0.0,0.0,1777986964.0738006,1777986964.0735583
0.0,0.0,0.0,0.0,0.0,0.0,1777986964.1735818,1777986964.1734288
0.0,0.0,0.0,0.0,0.0,0.0,1777986964.2740452,1777986964.2737603
0.0,0.0,0.0,0.0,0.0,0.0,1777986964.3740268,1777986964.3737624
0.0,0.0,0.0,0.0,0.0,0.0,1777986964.473602,1777986964.473461
0.0,0.0,0.0,0.0,0.0,0.0,1777986964.5740988,1777986964.5737712
0.0,0.0,0.0,0.0,0.0,0.0,1777986964.6738782,1777986964.673648
0.0,0.0,0.0,0.0,0.0,0.0,1777986964.7740428,1777986964.7737262
0.0,0.0,0.0,0.0,0.0,0.0,1777986964.8737845,1777986964.8734791
0.0,0.0,0.0,0.0,0.0,0.0,1777986964.97374,1777986964.9735804
0.0,0.0,0.0,0.0,0.0,0.0,1777986965.0741403,1777986965.0738091
0.0,0.0,0.0,0.0,0.0,0.0,1777986965.1738353,1777986965.1735935
0.0,0.0,0.0,0.0,0.0,0.0,1777986965.273899,1777986965.273582
0.0,0.0,0.0,0.0,0.0,0.0,1777986965.3738458,1777986965.373574
0.0,0.0,0.0,0.0,0.0,0.0,1777986965.4738934,1777986965.4735978
0.0,0.0,0.0,0.0,0.0,0.0,1777986965.574064,1777986965.5737433
0.0,0.0,0.0,0.0,0.0,0.0,1777986965.6741729,1777986965.6738596
0.0,0.0,0.0,0.0,0.0,0.0,1777986965.7738516,1777986965.773574
0.0,0.0,0.0,0.0,0.0,0.0,1777986965.8737843,1777986965.873579
0.0,0.0,0.0,0.0,0.0,0.0,1777986965.9738374,1777986965.9735703
0.0,0.0,0.0,0.0,0.0,0.0,1777986966.0738611,1777986966.0735688
0.0,0.0,0.0,0.0,0.0,0.0,1777986967.8440993,1777986967.8437428
0.0,0.0,0.0,0.0,0.0,0.0,1777986967.943993,1777986967.943781
0.0,0.0,0.0,0.0,0.0,0.0,1777986968.0442472,1777986968.043912
0.0,0.0,0.0,0.0,0.0,0.0,1777986968.1440244,1777986968.143732
0.0,0.0,0.0,0.0,0.0,0.0,1777986968.2440934,1777986968.2437744
0.0,0.0,0.0,0.0,0.0,0.0,1777986968.3439887,1777986968.343712
0.0,0.0,0.0,0.0,0.0,0.0,1777986968.4439616,1777986968.4436216
0.0,0.0,0.0,0.0,0.0,0.0,1777986968.5438864,1777986968.5435567
0.0,0.0,0.0,0.0,0.0,0.0,1777986968.6439312,1777986968.6437094
0.0,0.0,0.0,0.0,0.0,0.0,1777986968.7441208,1777986968.7438095
0.0,0.0,0.0,0.0,0.0,0.0,1777986970.154148,1777986970.1537879
0.0,0.0,0.0,0.0,0.0,0.0,1777986970.2540267,1777986970.2537508
0.0,0.0,0.0,0.0,0.0,0.0,1777986970.3540876,1777986970.3537834
