desired_linear_vel_x,desired_angular_vel_z,log_time,timestamp
0.01,0.0,1777986704.3266478,1777986704.3264518
0.01,0.0,1777986704.4271412,1777986704.4268565
0.01,0.0,1777986704.5276334,1777986704.5273511
0.015,0.0,1777986704.626378,1777986704.62609
0.02,0.0,1777986704.6563425,1777986704.656128
0.025,0.0,1777986704.6862068,1777986704.6860247
0.030000000000000002,0.0,1777986704.716513,1777986704.7162774
0.035,0.0,1777986704.7478216,1777986704.7475774
0.04,0.0,1777986704.7782779,1777986704.7780476
0.045,0.0,1777986704.8084526,1777986704.8081765
0.049999999999999996,0.0,1777986704.8385837,1777986704.8383126
0.05499999999999999,0.0,1777986704.8683977,1777986704.8682065
0.05999999999999999,0.0,1777986704.899185,1777986704.8989604
0.06499999999999999,0.0,1777986704.9289496,1777986704.9286835
0.06999999999999999,0.0,1777986704.9588954,1777986704.9586737
0.075,0.0,1777986704.9893255,1777986704.989139
0.08,0.0,1777986705.0206146,1777986705.0203698
0.085,0.0,1777986705.0511844,1777986705.0509028
0.09000000000000001,0.0,1777986705.0825355,1777986705.0822074
0.09500000000000001,0.0,1777986705.112943,1777986705.1126947
0.10000000000000002,0.0,1777986705.142428,1777986705.1422498
0.10500000000000002,0.0,1777986705.172425,1777986705.1722314
0.11000000000000003,0.0,1777986705.2018,1777986705.201597
0.11500000000000003,0.0,1777986705.2333035,1777986705.2331212
0.12000000000000004,0.0,1777986705.2633498,1777986705.2631009
0.12500000000000003,0.0,1777986705.294032,1777986705.2937276
0.13000000000000003,0.0,1777986705.3240037,1777986705.3237543
0.13500000000000004,0.0,1777986705.3542504,1777986705.353989
0.14000000000000004,0.0,1777986705.3842316,1777986705.3839638
0.14500000000000005,0.0,1777986705.413784,1777986705.4135222
0.15000000000000005,0.0,1777986705.4451528,1777986705.444878
0.15500000000000005,0.0,1777986705.476366,1777986705.476034
0.16000000000000006,0.0,1777986705.5057907,1777986705.5055256
0.16500000000000006,0.0,1777986705.5359476,1777986705.5357025
0.17000000000000007,0.0,1777986705.5662491,1777986705.5660322
0.17500000000000007,0.0,1777986705.5973256,1777986705.597076
0.18000000000000008,0.0,1777986705.6274233,1777986705.6270769
0.18500000000000008,0.0,1777986705.6574535,1777986705.657138
0.19000000000000009,0.0,1777986705.6874373,1777986705.6871593
0.1950000000000001,0.0,1777986705.7173371,1777986705.7171624
0.2000000000000001,0.0,1777986705.7487898,1777986705.7484808
0.2050000000000001,0.0,1777986705.7793756,1777986705.7790635
0.2100000000000001,0.0,1777986705.8104804,1777986705.8101575
0.2150000000000001,0.0,1777986705.9110541,1777986705.910753
0.22,0.0,1777986706.0118756,1777986706.0114095
0.22,0.0,1777986706.1122117,1777986706.1119056
0.22,0.0,1777986706.2127545,1777986706.2124014
0.22,0.0,1777986706.3131597,1777986706.3128426
0.22,0.0,1777986706.4135559,1777986706.4133255
0.22,0.0,1777986706.5141878,1777986706.513872
0.22,0.0,1777986706.6150067,1777986706.6145546
0.22,0.0,1777986706.7158291,1777986706.7154086
0.22,0.0,1777986706.8162243,1777986706.815949
0.22,0.0,1777986706.9168065,1777986706.916451
0.22,0.0,1777986707.0171406,1777986707.016857
0.22,0.0,1777986707.1175575,1777986707.117275
0.22,0.0,1777986707.2179973,1777986707.2177532
0.22,0.0,1777986707.3185222,1777986707.3182027
0.22,0.0,1777986707.4190845,1777986707.418743
0.22,0.0,1777986707.5194776,1777986707.5192466
0.22,0.0,1777986707.6202486,1777986707.6199045
0.22,0.0,1777986707.7209733,1777986707.720628
0.22,0.0,1777986707.8216264,1777986707.8212795
0.22,0.0,1777986707.9223883,1777986707.921997
0.22,0.0,1777986708.0230935,1777986708.022772
0.22,0.0,1777986708.1234932,1777986708.1232939
0.22,0.0,1777986708.2239883,1777986708.2237465
0.22,0.0,1777986708.3243787,1777986708.3241887
0.22,0.0,1777986708.4249558,1777986708.4247248
0.22,0.0,1777986708.5254443,1777986708.5251493
0.22,0.0,1777986708.6262631,1777986708.6258588
0.22,0.0,1777986708.7267342,1777986708.7264318
0.22,0.0,1777986708.827117,1777986708.8268912
0.22,0.0,1777986708.927633,1777986708.9273503
0.22,0.0,1777986709.0281212,1777986709.0278494
0.22,0.0,1777986709.1286492,1777986709.1282992
0.22,0.0,1777986709.229125,1777986709.2288346
0.22,0.0,1777986709.329707,1777986709.329355
0.22,0.0,1777986709.430291,1777986709.4299386
0.22,0.0,1777986709.5306056,1777986709.530403
0.22,0.0,1777986709.6310873,1777986709.6308806
0.22,0.0,1777986709.7315423,1777986709.731358
0.22,0.0,1777986709.832194,1777986709.8318686
0.22,0.0,1777986709.9326367,1777986709.9323478
0.22,0.0,1777986710.033127,1777986710.03287
0.22,0.0,1777986710.1336477,1777986710.133321
0.22,0.0,1777986710.2341695,1777986710.233851
0.22,0.0,1777986710.334842,1777986710.3344479
0.22,0.0,1777986710.4352717,1777986710.4350276
0.22,0.0,1777986710.5359557,1777986710.5356462
0.22,0.0,1777986710.6365304,1777986710.636243
0.22,0.0,1777986710.7370136,1777986710.7367604
0.22,0.0,1777986710.8374577,1777986710.8372157
0.22,0.0,1777986710.9382215,1777986710.937831
0.22,0.0,1777986711.03884,1777986711.0385022
0.22,0.0,1777986711.1394453,1777986711.1390898
0.22,0.0,1777986711.240195,1777986711.2397983
0.22,0.0,1777986711.3409746,1777986711.340522
0.22,0.0,1777986711.4417288,1777986711.4414065
0.22,0.0,1777986711.5421994,1777986711.5418744
0.22,0.0,1777986711.6425354,1777986711.642303
0.22,0.0,1777986711.7429702,1777986711.7427754
0.22,0.0,1777986711.8436055,1777986711.8432324
0.22,0.0,1777986711.9441516,1777986711.9438171
0.22,0.0,1777986712.0445297,1777986712.044277
0.22,0.0,1777986712.1449554,1777986712.1447234
0.22,0.0,1777986712.245353,1777986712.245101
0.22,0.0,1777986712.3458867,1777986712.3456192
0.22,0.0,1777986712.4463758,1777986712.4460938
0.22,0.0,1777986712.546936,1777986712.5466745
0.22,0.0,1777986712.6474838,1777986712.6471424
0.22,0.0,1777986712.7479672,1777986712.747709
0.22,0.0,1777986712.8486807,1777986712.8483243
0.22,0.0,1777986712.9492702,1777986712.9489448
0.22,0.0,1777986713.0498106,1777986713.0495377
0.22,0.0,1777986713.1504545,1777986713.150142
0.22,0.0,1777986713.2509484,1777986713.2506788
0.22,0.0,1777986713.351341,1777986713.3511357
0.22,0.0,1777986713.4519436,1777986713.4516988
0.22,0.0,1777986713.5524077,1777986713.5521574
0.22,0.0,1777986713.6528826,1777986713.6525729
0.22,0.0,1777986713.7534502,1777986713.7531228
0.22,0.0,1777986713.8539772,1777986713.8536937
0.22,0.0,1777986713.954416,1777986713.9541185
0.22,0.0,1777986714.0549686,1777986714.054669
0.22,0.0,1777986714.1553044,1777986714.155107
0.22,0.0,1777986714.2559252,1777986714.2556343
0.22,0.0,1777986714.3563535,1777986714.3560896
0.22,0.0,1777986714.4568815,1777986714.456606
0.22,0.0,1777986714.5572946,1777986714.5570657
0.22,0.0,1777986714.65793,1777986714.657568
0.22,0.0,1777986714.7583568,1777986714.7580557
0.22,0.0,1777986714.8588738,1777986714.858581
0.22,0.0,1777986714.9595275,1777986714.959223
0.22,0.0,1777986715.059883,1777986715.0596776
0.22,0.0,1777986715.1604698,1777986715.160132
0.22,0.0,1777986715.261012,1777986715.2607021
0.22,0.0,1777986715.36156,1777986715.361286
0.22,0.0,1777986715.4619982,1777986715.461742
0.22,0.0,1777986715.5624154,1777986715.562167
0.22,0.0,1777986715.6629968,1777986715.6626956
0.22,0.0,1777986715.7634227,1777986715.7632177
0.22,0.0,1777986715.8640785,1777986715.8637965
0.22,0.0,1777986715.9644444,1777986715.9642577
0.22,0.0,1777986716.0650733,1777986716.064793
0.22,0.0,1777986716.1655073,1777986716.1652558
0.22,0.0,1777986716.266096,1777986716.2658098
0.22,0.0,1777986716.3664484,1777986716.3662617
0.22,0.0,1777986716.4670095,1777986716.4667544
